Song,Key,RMSE,Dynamic Range,Spectral Centroid,Spectral Bandwidth,Tempo
2000 - Amazed - Lonestar.mp3,G#,0.13076556,10.49636345,2721.963653,2621.657732,135.9991776
2000 - Bent - Matchbox Twenty.mp3,C#,0.22517247,7.139235973,2148.739067,2321.705398,95.703125
2000 - Breathe - Faith Hill.mp3,G,0.17256919,17.19670868,2426.484005,2580.236148,135.9991776
2000 - Everything You Want - Vertical Horizon.mp3,D#,0.19982594,10.58900642,2206.975408,2435.783977,95.703125
2000 - He Wasn_t Man Enough - Toni Braxton.mp3,E,0.26076347,10.27007103,3185.178288,3107.71508,172.265625
2000 - I Knew I Loved You - Savage Garden.mp3,A,0.16430949,12.02147293,2201.734911,2664.163575,86.1328125
2000 - I Wanna Know - Joe.mp3,D#,0.14808439,13.43277683,2357.267469,2793.875588,135.9991776
2000 - Maria Maria _feat. The Product G_B_ - Santana.mp3,G,0.098908,17.18346138,1790.438465,2191.997509,99.38401442
2000 - Say My Name - Destiny_s Child.mp3,G#,0.19073059,10.45849314,3115.422406,2874.211474,135.9991776
2000 - Smooth _feat. Rob Thomas_ - Santana.mp3,D#,0.2842842,6.361208916,2188.255014,2435.932896,117.4538352
2001 - Again - Lenny Kravitz.mp3,A,0.20252122,10.06570225,2484.396933,2558.304731,78.30255682
2001 - All For You - Janet Jackson.mp3,E,0.22500384,14.68234119,3349.525297,2903.883058,112.3471467
2001 - Drops of Jupiter _Tell Me_ - Train.mp3,C,0.20145492,10.46644402,2088.485767,2261.36652,161.4990234
2001 - Fallin_ - Alicia Keys.mp3,G,0.08446878,19.66709881,1726.117062,1977.082119,95.703125
2001 - Hanging By A Moment - Lifehouse.mp3,C#,0.25108412,9.20077858,2394.15838,2551.651712,123.046875
2001 - If You_re Gone - Matchbox Twenty.mp3,A,0.21477377,11.2020874,1758.643338,2169.00143,112.3471467
2001 - Independent Women_ Pt. 1 - Destiny_s Child.mp3,C#,0.104660995,21.51823034,2632.463605,2424.479975,99.38401442
2001 - I_m Real _feat. Ja Rule_ - Murder Remix - Jennifer Lopez.mp3,D,0.20054339,17.6537674,2832.14978,2882.788578,83.35433468
2001 - Let Me Blow Ya Mind - Eve.mp3,G#,0.20492479,18.42630243,2710.90706,2639.283597,89.10290948
2001 - Thank You - Dido.mp3,E,0.14431208,17.76520042,2111.788819,2577.334955,161.4990234
2002 - A Thousand Miles - Vanessa Carlton.mp3,F#,0.21389966,10.74664497,2516.554392,2507.143627,95.703125
2002 - Blurry - Puddle Of Mudd.mp3,D#,0.07689979,14.42387676,2587.447556,2565.720811,103.359375
2002 - Dilemma - Nelly.mp3,G,0.19514096,13.95101452,1997.836233,2399.099961,172.265625
2002 - Foolish - Ashanti.mp3,E,0.20245372,17.24489441,2532.29842,2566.88048,89.10290948
2002 - Hot In Herre - Nelly.mp3,E,0.19626544,14.57263021,2773.206761,2586.661852,107.6660156
